date,state,regime,confidence,prob_sideways,prob_high-volatility,prob_low-volatility
2025-10-13,0,sideways,0.9999999972183105,4.6242424598814e-14,4.086710844062995e-184,3.809932949453414e-21
2025-10-14,0,sideways,0.9999999702097289,7.572942719104903e-15,5.218248142772599e-234,1.0024523694320539e-08
2025-10-15,0,sideways,0.999967255832826,2.238150343420443e-12,4.958494201806887e-235,3.2743982069486085e-05
2025-10-16,0,sideways,0.9999999006518059,3.127356949122882e-11,2.748263679757176e-263,2.1513268528573053e-14
2025-10-17,0,sideways,0.9999943471883099,1.9848635224564345e-11,1.064355791835208e-260,1.550924856967323e-08
2025-10-18,0,sideways,0.9999968498406866,1.2036696179891142e-12,3.2492121781498873e-264,9.129876211734133e-10
2025-10-19,0,sideways,0.9999997420593778,1.2922055948754035e-12,6.163810813341582e-258,5.7813122567039085e-09
2025-10-20,0,sideways,0.9999997260390876,1.3079566966828439e-14,4.950227904847488e-270,7.164904859191112e-09
2025-10-21,0,sideways,0.9999979955179777,1.620669294613983e-14,9.132362967537418e-247,2.001695464772614e-06
2025-10-22,0,sideways,0.9999999968179054,3.5903392863028493e-12,5.682538466919309e-259,2.3638948326045784e-11
2025-10-23,0,sideways,0.9999943697845783,2.999696539688215e-11,0.0,4.2969224349548875e-06
2025-10-24,0,sideways,0.9999960946630697,2.98491459543359e-10,0.0,2.2211225232032765e-14
2025-10-25,0,sideways,0.9999323481553989,5.146772023596155e-10,1.5607717e-317,6.769513932313353e-09
2025-10-26,0,sideways,0.9998941691165294,5.007366761605272e-09,6.02276e-319,5.99637684351631e-09
2025-10-27,0,sideways,0.999014817356847,6.735229239170888e-08,1.5287548e-316,6.822736993161381e-11
2025-10-28,0,sideways,0.9827060945302228,7.529357943975242e-07,1.15538858396e-313,9.069122930003218e-09
2025-10-29,0,sideways,0.8500782747671305,2.933249658532881e-06,3.206089194283e-312,3.085973932699079e-13
2025-10-30,1,sideways,0.9728601248101344,1.7158722941962487e-05,1.614948507955e-311,2.46216346544089e-06
2025-10-31,1,sideways,0.9933163714041269,2.386394887835512e-06,1.523572e-317,6.363706043409564e-07
2025-11-01,1,sideways,0.9999757845963578,3.1565330262147047e-07,0.0,1.1781730471932466e-07
2025-11-02,1,sideways,0.9999888712978524,4.837308702703813e-08,0.0,1.0893153518266271e-05
2025-11-03,1,sideways,0.9999998183220834,9.459074781223924e-09,0.0,1.4625589112188334e-07
2025-11-04,1,sideways,0.9874456305213549,2.3266044425805104e-09,0.0,0.012552894687995735
2025-11-05,4,low-volatility,0.9324554267542395,8.687133959762768e-08,0.0,0.9324554267542395
2025-11-06,4,low-volatility,0.9896963972396654,7.161081832542485e-10,0.0,0.9896963972396654
2025-11-07,4,low-volatility,0.9994386363075317,3.743251095647621e-11,0.0,0.9994386363075317
2025-11-08,4,low-volatility,0.9999765328498226,4.486453594532861e-12,0.0,0.9999765328498226
2025-11-09,4,low-volatility,0.9999770761511652,2.27492788511296e-13,0.0,0.9999770761511652
2025-11-10,4,low-volatility,0.9999635217432639,1.0558270747025392e-13,0.0,0.9999635217432639
2025-11-11,4,low-volatility,0.9999722153258179,4.081950620268233e-15,0.0,0.9999722153258179
2025-11-12,4,low-volatility,0.9999992557941864,1.5011738578059648e-13,0.0,0.9999992557941864
2025-11-13,4,low-volatility,0.99998642500992,8.610241535698581e-15,0.0,0.99998642500992
2025-11-14,4,low-volatility,0.9999771500800236,6.014649729787683e-15,0.0,0.9999771500800236
