date,state,regime,confidence,prob_sideways,prob_bull,prob_bear,prob_high-volatility,prob_low-volatility
2025-08-19,0,sideways,0.999864025522028,0.999864025522028,4.837035426704405e-05,2.309495298664472e-11,8.488417156856605e-39,8.760410067399464e-05
2025-08-20,0,sideways,0.9999428514725384,0.9999428514725384,4.889273105074836e-05,4.206277534229439e-18,4.0347885479370705e-62,8.255796477652555e-06
2025-08-21,0,sideways,0.999997775607626,0.999997775607626,1.2173096777176303e-06,3.1463495665430726e-20,5.413318817365315e-79,1.0070827096411187e-06
2025-08-22,0,sideways,0.9999939505659029,0.9999939505659029,1.1068406633550732e-06,4.336398262712371e-20,9.888935138318678e-72,4.942593513220287e-06
2025-08-23,0,sideways,0.9999959006906813,0.9999959006906813,1.0389072137547903e-06,8.54365315126182e-21,1.1681285500865276e-73,3.0604020118225924e-06
2025-08-24,0,sideways,0.999998454601212,0.999998454601212,5.079330948830093e-07,7.900095185836955e-22,1.653289395248366e-89,1.0374656944994569e-06
2025-08-25,0,sideways,0.9999996088775643,0.9999996088775643,1.9737705694626913e-07,1.0582559383038117e-26,5.198698216687993e-99,1.9374546608086268e-07
2025-08-26,0,sideways,0.9999998817024859,0.9999998817024859,3.814914183473847e-08,1.7241137559669783e-26,5.345802138596905e-109,8.014835419282186e-08
2025-08-27,0,sideways,0.9999998154487627,0.9999998154487627,1.1470947795184318e-07,1.4016657743688878e-20,1.7139533063676283e-91,6.984179313922348e-08
2025-08-28,0,sideways,0.9999950875835717,0.9999950875835717,8.261851407212538e-10,6.788725550638549e-31,1.618056605190479e-70,4.911590132001377e-06
2025-08-29,0,sideways,0.9999979297932496,0.9999979297932496,3.065984463445974e-09,8.069555686098516e-29,2.0829461177103427e-40,2.06714066169176e-06
2025-08-30,0,sideways,0.9999998391781575,0.9999998391781575,9.387655781046758e-11,4.88008763554378e-31,6.396316210112351e-48,1.607279707628355e-07
2025-08-31,0,sideways,0.9999998921064219,0.9999998921064219,5.547434065736483e-10,1.794463894872443e-27,4.0350604696297234e-42,1.0733886343395691e-07
2025-09-01,0,sideways,0.9999928424960345,0.9999928424960345,2.9758398355304275e-12,2.6450324558054505e-44,6.656478919576772e-26,7.157500890780314e-06
2025-09-02,0,sideways,0.999994888160805,0.999994888160805,6.627907494626369e-13,7.72584243989639e-45,1.41354694021154e-21,5.111838610982207e-06
2025-09-03,0,sideways,0.9999806956569712,0.9999806956569712,9.954067321225138e-14,2.4402291920597115e-57,1.70012785126772e-30,1.9304342934818343e-05
2025-09-04,0,sideways,0.999974702002049,0.999974702002049,1.2206072804436841e-10,4.407003626213431e-45,1.6198552448433623e-40,2.5297875915069356e-05
2025-09-05,0,sideways,0.9999733782086694,0.9999733782086694,2.40453718678208e-10,2.893777617117065e-42,3.6609075900008587e-36,2.662155078509655e-05
2025-09-06,0,sideways,0.9999819403274669,0.9999819403274669,9.692896949340853e-11,1.6481054949642086e-41,3.856335164019527e-34,1.8059575685528956e-05
2025-09-07,0,sideways,0.9999696812432017,0.9999696812432017,1.0820811414914289e-11,4.847586893416942e-50,1.106052373875533e-48,3.0318745987692012e-05
2025-09-08,0,sideways,0.999964775240318,0.999964775240318,4.059315776433398e-06,9.878392921144997e-22,3.176329196586065e-57,3.116544385405025e-05
2025-09-09,0,sideways,0.9999961140363682,0.9999961140363682,3.489597082242177e-06,8.725774144940017e-10,1.0413602971165194e-29,3.9549386491828323e-07
2025-09-10,0,sideways,0.999993068386097,0.999993068386097,6.456815372931348e-06,9.848314185106234e-10,7.561083892113119e-25,4.7381371937695885e-07
2025-09-11,0,sideways,0.9998949501789284,0.9998949501789284,5.655788077714933e-05,1.7727665023545237e-11,7.275577343098845e-32,4.849192246606628e-05
2025-09-12,0,sideways,0.9999059067352771,0.9999059067352771,5.6585276344412164e-05,2.136932922737803e-09,2.190843611115555e-28,3.75058515429364e-05
2025-09-13,0,sideways,0.9999232208156174,0.9999232208156174,5.0024754303725e-05,5.823079352610684e-09,2.162668576757795e-27,2.67486071046964e-05
2025-09-14,0,sideways,0.9999347385617442,0.9999347385617442,4.040721118660459e-05,1.1697831057993344e-08,3.615120696693208e-24,2.4842529237614633e-05
