date,state,regime,confidence,prob_bull,prob_high-volatility,prob_bear,prob_low-volatility
2025-07-07,1,high-volatility,0.9999998868384019,1.3991940887711176e-22,0.9999998868384019,1.1316162421507043e-07,2.452275650312827e-97
2025-07-08,1,high-volatility,0.9999999600886448,1.3591257812392323e-20,0.9999999600886448,3.9911278506276326e-08,1.3910875453213542e-77
2025-07-09,1,high-volatility,0.9999994039810147,6.924878532735514e-22,0.9999994039810147,5.960189324843249e-07,2.136839457316547e-96
2025-07-10,1,high-volatility,0.9999998796793151,1.0904897256983403e-18,0.9999998796793151,1.2032078390219927e-07,4.328942458261394e-92
2025-07-11,1,high-volatility,0.9999842827276635,5.566330625329346e-18,0.9999842827276635,1.5717272305803288e-05,3.5069030421154255e-106
2025-07-12,1,high-volatility,0.9999845550145385,2.3449219449556393e-17,0.9999845550145385,1.5444985562048778e-05,3.2694894595486244e-105
2025-07-13,1,high-volatility,0.9999996487700336,3.866008539643818e-20,0.9999996487700336,3.512300483448654e-07,4.161958903769056e-94
2025-07-14,1,high-volatility,0.9999999970668796,6.313817437130268e-16,0.9999999970668796,2.9330624002778195e-09,6.337647808789904e-35
2025-07-15,1,high-volatility,0.999999759872964,9.33492848458771e-23,0.999999759872964,2.401271206270975e-07,4.8701527741888815e-82
2025-07-16,1,high-volatility,0.9999999707254124,2.218490511167843e-21,0.9999999707254124,2.927467944606614e-08,2.1631830611853956e-92
2025-07-17,1,high-volatility,1.0,2.647261562827124e-25,1.0,1.845162299796028e-14,9.880505608209359e-27
2025-07-18,1,high-volatility,0.9999999999947704,8.622271888753804e-33,0.9999999999947704,5.172665777497943e-12,8.068649821641756e-38
2025-07-19,1,high-volatility,0.9999999999856755,4.1817071855777024e-30,0.9999999999856755,1.4296748831032424e-11,3.806238176183846e-41
2025-07-20,1,high-volatility,0.9999999999838565,4.567386921978274e-31,0.9999999999838565,1.6140515201386913e-11,9.899153923493847e-56
2025-07-21,1,high-volatility,0.9999999999995453,1.088581839696876e-27,0.9999999999995453,4.1409056325006756e-13,7.998117054803652e-103
2025-07-22,1,high-volatility,0.9999999999138254,2.8610740463375245e-20,0.9999999999138254,6.688758126005931e-12,7.943266613427241e-11
2025-07-23,1,high-volatility,0.9999999999995453,5.702950137083186e-15,0.9999999999995453,5.543740881453405e-13,4.991084924000089e-18
2025-07-24,3,low-volatility,0.9840517503384819,5.928801136704768e-14,0.01594824966136094,1.1888982702176591e-18,0.9840517503384819
2025-07-25,3,low-volatility,0.9999993437797791,1.654197416449315e-07,4.908003994658345e-07,1.2379823890889804e-28,0.9999993437797791
2025-07-26,3,low-volatility,0.9999992406654356,6.606889033447126e-07,9.864558754446828e-08,5.145512286631842e-35,0.9999992406654356
2025-07-27,3,low-volatility,0.9999996714867023,2.660708896981469e-07,6.244230858710666e-08,1.7207996342535333e-30,0.9999996714867023
2025-07-28,3,low-volatility,0.9997892208090534,0.00019796515481099145,1.2814036045983015e-05,3.007553605172259e-29,0.9997892208090534
2025-07-29,3,low-volatility,0.9999109837112595,8.563246632422644e-05,3.383822440415967e-06,2.74527113623944e-31,0.9999109837112595
2025-07-30,3,low-volatility,0.9999990358578643,8.043111494921528e-07,1.598310602506058e-07,8.138531488855761e-30,0.9999990358578643
2025-07-31,3,low-volatility,0.9999991782514109,7.228131366682548e-07,9.893542460950434e-08,4.292550110648446e-28,0.9999991782514109
2025-08-01,3,low-volatility,0.9988165638686476,0.0011664355699211992,1.70005614075775e-05,8.172008585306896e-27,0.9988165638686476
2025-08-02,3,low-volatility,0.9996725063836718,0.00030773124615101184,1.9762370104592703e-05,2.79681715424235e-18,0.9996725063836718
2025-08-03,3,low-volatility,0.9968416772816623,0.003154776361337726,3.5463569529410644e-06,7.969123125917835e-17,0.9968416772816623
2025-08-04,0,bull,0.9968033558355364,0.9968033558355364,0.0030211151099137404,3.512934209647112e-14,0.0001755290546173818
2025-08-05,0,bull,0.9900949274558352,0.9900949274558352,1.0891254622300173e-11,2.030646220256336e-13,0.009905072533062689
