Asset,AssetID,Horizons,N_Horizons,Threshold,Sharpe,Return,WinRate,DA,Trades
Crude_Oil,1866,D5+D7+D10,3,0.1,3.424,4.7,33.3,33.3,15
Crude_Oil,1866,D5+D7+D9+D10,4,0.1,3.383,5.77,23.8,23.8,21
Crude_Oil,1866,D1+D7+D8,3,0.1,3.37,7.36,33.3,33.3,27
Crude_Oil,1866,D4+D7+D8,3,0.1,3.325,10.89,37.5,37.5,32
Crude_Oil,1866,D3+D9+D10,3,0.1,3.308,6.22,33.3,33.3,21
Crude_Oil,1866,D1+D5+D9+D10,4,0.1,3.262,1.58,20.0,20.0,10
Crude_Oil,1866,D1+D4+D7+D8,4,0.1,3.195,3.34,26.7,26.7,15
Crude_Oil,1866,D4+D6+D7+D8,4,0.1,3.1,4.58,43.8,43.8,16
Crude_Oil,1866,D3+D6+D9+D10,4,0.1,3.015,1.77,28.6,28.6,7
Crude_Oil,1866,D5+D9+D10,3,0.1,2.947,6.39,29.6,29.6,27
Crude_Oil,1866,D7+D8,2,0.1,2.947,22.13,38.2,38.2,76
Crude_Oil,1866,D2+D6+D7+D8,4,0.1,2.874,4.97,40.0,40.0,20
Crude_Oil,1866,D5+D10,2,0.1,2.844,4.13,23.5,23.5,17
Crude_Oil,1866,D5+D7+D8,3,0.1,2.814,11.38,41.5,41.5,41
Crude_Oil,1866,D3+D6+D7+D9,4,0.1,2.811,3.9,43.8,43.8,16
Crude_Oil,1866,D3+D5+D6,3,0.1,2.784,9.12,36.4,36.4,44
Crude_Oil,1866,D1+D7+D9,3,0.1,2.782,1.9,21.4,21.4,14
Crude_Oil,1866,D1+D3+D4,3,0.2,2.773,2.33,36.4,36.4,11
Crude_Oil,1866,D4+D6+D8+D10,4,0.1,2.757,1.45,25.0,25.0,8
Crude_Oil,1866,D4+D8,2,0.1,2.75,4.25,19.0,19.0,21
Crude_Oil,1866,D4+D6+D8,3,0.1,2.75,4.25,19.0,19.0,21
Crude_Oil,1866,D4+D7+D8+D10,4,0.1,2.68,3.36,37.5,37.5,16
Crude_Oil,1866,D5+D6+D7+D8,4,0.1,2.649,7.84,36.7,36.7,30
Crude_Oil,1866,D4+D6+D9,3,0.1,2.608,2.63,29.4,29.4,17
